,QQQ_策略,QQQ_等额定投,SPY_策略,SPY_等额定投
2025-11-25,2431.0983246553114,3135.549761457461,2460.0721554077127,3106.1045123768267
2025-11-26,2452.5790249968154,3163.2548543155594,2477.0553733174447,3127.5476434931797
2025-11-28,2550.4624531286313,3288.8998386024505,2568.576134189948,3244.6190518518874
2025-12-01,2541.895667116892,3277.852704347724,2556.849473250972,3229.8059626112185
2025-12-02,2561.788683096495,3303.5053607765117,2561.5852799907634,3235.7882220308566
2025-12-03,2568.0490944872395,3311.5783539653926,2570.455455447812,3246.993005840111
2025-12-04,2565.6601605651763,3308.4977501395774,2572.3347767056757,3249.3669598283345
2025-12-05,2654.121531513315,3421.9880099866455,2663.220827909398,3355.5390076850817
2025-12-08,2649.0296589335167,3415.4230028045836,2655.2199283594746,3345.458232461717
2025-12-09,2652.2969114230955,3419.6355072857036,2652.9281488949205,3342.570692942
2025-12-10,2663.1598322529994,3433.6411902930568,2670.522947518837,3364.7393514686237
2025-12-11,2654.546048723049,3422.5353446827,2676.7370722294486,3372.5688703904348
2025-12-12,2681.7956257162195,3457.1022674972332,2715.9568015742066,3436.3070178908774
2025-12-15,2668.3345828014294,3439.7496394530394,2711.8534976065307,3431.1153991536094
2025-12-16,2673.622792426215,3446.5666695464356,2704.443846604876,3421.7404946181796
2025-12-17,2624.0617527203362,3382.6775420142235,2674.685260097833,3384.0890711502543
2025-12-18,2662.084831954904,3431.693086740509,2694.8825582023646,3409.6432762756112
2025-12-19,2789.7860533631447,3576.4264251295267,2812.307532378667,3540.5464593178394
2025-12-22,2803.1589719430585,3593.5701266447927,2829.827854456318,3562.6036182821254
2025-12-23,2816.2870836909756,3610.3999927596883,2842.761538408441,3578.886442402677
2025-12-24,2824.526242746627,3620.9623604838916,2852.7612972910456,3591.475610016182
2025-12-26,2824.345262526584,3620.7303489858755,2852.472015759649,3591.1114198663
2025-12-29,2903.67365750718,3703.2037399448755,2935.306809026481,3678.3139621583546
2025-12-30,2896.939079916475,3694.614788202186,2931.7223684082887,3673.8222007070885
2025-12-31,2872.99397858244,3664.076374016315,2910.0013667112867,3646.603014089712
2026-01-02,2867.4285965078425,3656.9785572008523,2915.335572775854,3653.2874549065937
2026-01-05,2890.2045023257697,3686.0258364594965,2934.7520307590235,3677.6187542023017
2026-01-06,3008.599394681853,3818.4132433932637,3045.205667604372,3799.490388166173
2026-01-07,3011.4951469267244,3822.088434826509,3035.3897511156697,3787.2431101755187
2026-01-08,2994.3627561657963,3800.344580231526,3035.0815932381643,3786.8586228792824
2026-01-09,3024.1874431561514,3838.1970706579136,3055.1537668966776,3811.902590088604
2026-01-12,3026.6967416378984,3841.3817879623402,3059.9515728046927,3817.888792474117
2026-01-13,3115.2086349391802,3935.6856337696477,3146.8332821818217,3910.255026827052
2026-01-14,3081.9294549151878,3893.641454367,3131.3658956590248,3891.03525238107
2026-01-15,3093.022717334666,3907.6564365567338,3139.8933064282246,3901.6314129768307
2026-01-16,3090.4358986080615,3904.3883070371635,3137.2624388047034,3898.362296875879
2026-01-20,3024.7729057460815,3821.4311353155786,3073.3979403726657,3819.004271319305
2026-01-21,3174.663162276943,3973.0909803046793,3209.8682815836974,3963.0797171997874
2026-01-22,3197.741029943834,4001.9729319276116,3226.6339468595756,3983.7795285850107
2026-01-23,3207.8374398419155,4014.6085890191052,3227.8047479127003,3985.2250638841188
2026-01-26,3221.9523541902768,4032.2734044715344,3244.1959626564512,4005.4625580716292
2026-01-27,3251.160319757731,4068.827173680193,3257.121652017368,4021.4213242400033
2026-01-28,3354.9264279954646,4182.300958250663,3349.7937934216807,4121.016532006586
2026-01-29,3334.8463641412895,4157.268853344199,3343.146397740021,4112.8387069856235
2026-01-30,3294.791980548896,4107.336465711871,3333.175304217531,4100.571969454179
2026-02-02,3317.4154005865494,4135.539156093645,3349.7455770177976,4120.95721474416
2026-02-03,3266.446736695544,4072.0008650440045,3321.422261768613,4086.113025047368
2026-02-04,3328.3850127652386,4100.866875135396,3406.33356500225,4166.320229000391
2026-02-05,3280.4718145811144,4041.8335461901274,3363.7909696614,4114.285960429678
2026-02-06,3349.814286903388,4127.269650095112,3428.3246063909887,4193.217688936798
2026-02-09,3375.474214477526,4158.884967014152,3444.855230481704,4213.436458541384
2026-02-10,3359.814257109832,4139.590504327621,3435.770795244403,4202.3251960722355
2026-02-11,3486.8255656968313,4250.693239361074,3527.9766684139668,4301.353891702038
2026-02-12,3415.9074373185854,4164.238897678138,3473.4734052181343,4234.902822068619
2026-02-13,3423.186761036796,4173.112921208459,3475.920598468139,4237.886471111396
2026-02-17,3419.6607789506015,4168.814493330866,3481.5288533958574,4244.724126636437
2026-02-18,3445.1958592999626,4199.943608155364,3499.067797796099,4266.107830057084
2026-02-19,3570.001716252282,4283.858990902441,3607.8394768616026,4354.85654415124
2026-02-20,3601.5921945931423,4321.766298916139,3633.9305970712016,4386.349931348125
